"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:8","IR_t_IT_t",-0.0463561405917543,0.0368036224041113,-1.25955374943136,0.236433857365036,1003
"3:9","(Intercept)",-470.063801212236,836.039217296044,-0.562250898627145,0.58632655076909,1003
"3:9","IR_t",0.86553270772381,0.518500908081364,1.66929834496643,0.126016433283124,1003
"3:9","IT_t",52.205526312558,114.367561355219,0.45647144779463,0.657804818991567,1003
"3:9","IR_t_squared",-0.000722109142323094,0.00013451033748029,-5.36842859701327,0.000315230334999516,1003
"3:9","IT_t_squared",-1.51000218621208,3.94479988475213,-0.38278296246375,0.709891110653446,1003
"3:9","IR_t_IT_t",-0.0173086998587532,0.0339761365042483,-0.509436964870592,0.621498525724491,1003
"3:10","(Intercept)",647.947957590849,944.181100436124,0.686253894821192,0.508151657260986,1051
"3:10","IR_t",0.65637582251672,1.01535388590225,0.646450298393709,0.532543010710329,1051
"3:10","IT_t",-121.945106393855,152.539302938394,-0.799434008447677,0.442613627405221,1051
"3:10","IR_t_squared",-0.000210746565087754,0.000248107358957259,-0.84941682493206,0.41552147202272,1051
"3:10","IT_t_squared",5.49586991487669,6.36857716286527,0.862966683817969,0.408375612919412,1051
"3:10","IR_t_IT_t",-0.0282172327293845,0.0593823941248126,-0.475178428644629,0.644868153369543,1051
"3:3","(Intercept)",83.4249298587434,9.47001339432397,8.80937823263753,5.0142791085205e-06,1051
"3:3","IR_t",-0.0450628971410784,0.249163100901079,-0.180857024888966,0.860092689661548,1051
"3:3","IT_t",3.15349904068157,3.69969466069299,0.852367378904422,0.413958188214341,1051
"3:3","IR_t_squared",0.00084442274487834,0.00203253818206465,0.415452340492111,0.686584711334198,1051
"3:3","IT_t_squared",-0.270093417231805,0.490630341380642,-0.55050288262189,0.594057696739109,1051
"3:3","IR_t_IT_t",-0.0107385518173888,0.0362680910751515,-0.296088145227643,0.773220344189541,1051
"3:4","(Intercept)",79.7736981694563,28.6545592114382,2.78397924675151,0.0193183060247058,1051
"3:4","IR_t",-0.0429893010853019,0.371873796751569,-0.11560185595443,0.910256536888842,1051
"3:4","IT_t",3.02241580598669,9.7761004555459,0.309163742714213,0.76354239919724,1051
"3:4","IR_t_squared",-0.000297146628598916,0.00170840478666734,-0.173932214963278,0.865389356046762,1051
