district_no,accumulation_period,Year,stations_rain,stations_temp,Y_t,IR_t,IT_t,prediction,strike_level_mixed,strike_level_IT,strike_level_IR,n_put_IT,n_call_IT,n_put_IR,n_call_IR,n_put_mixed,n_call_mixed,n_IT,n_IR,n_mixed
9774,3:4,2020,7331,3485,95.9158823529412,76.1,7.44098360655738,86.6134118882602,84.8816176470588,6.7038934426229515,76.5625,0,0.73709016393442806,0.4625000000000057,0,0,1.7317942412013991,0.73709016393442806,0.4625000000000057,1.7317942412013991
9774,3:4,2021,7331,3485,76.8,45.2,5.04590163934426,73.6135520665379,84.8816176470588,6.7038934426229515,76.5625,1.6579918032786916,0,31.362499999999997,0,11.268065580520897,0,1.6579918032786916,31.362499999999997,11.268065580520897
9775,3:8,2006,7331,3485,78.2860294117647,414.6,12.5423913043478,80.2873166953467,81.53676470588364,13.315624999999994,418.03125,0.773233695652193,0,3.4312499999999773,0,1.2494480105369377,0,0.773233695652193,3.4312499999999773,1.2494480105369377
9775,3:8,2007,7331,3485,84.4602941176471,535.1,13.6108695652174,86.1901830457724,81.53676470588364,13.315624999999994,418.03125,0,0.2952445652174056,0,117.06875000000002,0,4.653418339888759,0.2952445652174056,117.06875000000002,4.653418339888759
9775,3:8,2008,7331,3485,84.8345588235294,419.3,13.0625,84.0313964721135,81.53676470588364,13.315624999999994,418.03125,0.2531249999999936,0,0,1.2687500000000114,0,2.4946317662298583,0.2531249999999936,1.2687500000000114,2.4946317662298583
9775,3:8,2009,7331,3485,74.8088235294118,448.8,13.4320652173913,81.9297910097115,81.53676470588364,13.315624999999994,418.03125,0,0.11644021739130572,0,30.76875000000001,0,0.39302630382785253,0.11644021739130572,30.76875000000001,0.39302630382785253
9775,3:8,2010,7331,3485,73.4830882352941,460.4,12.5565217391304,76.1766811040013,81.53676470588364,13.315624999999994,418.03125,0.759103260869594,0,0,42.36874999999998,5.360083601882337,0,0.759103260869594,42.36874999999998,5.360083601882337
9775,3:8,2011,7331,3485,87.1573529411765,373.5,13.4260869565217,87.8168461410275,81.53676470588364,13.315624999999994,418.03125,0,0.1104619565217071,44.53125,0,0,6.280081435143856,0.1104619565217071,44.53125,6.280081435143856
9775,3:8,2012,7331,3485,82.5316176470588,377.6,13.7380434782609,83.0940919884465,81.53676470588364,13.315624999999994,418.03125,0,0.42241847826090684,40.43124999999998,0,0,1.5573272825628521,0.42241847826090684,40.43124999999998,1.5573272825628521
9775,3:8,2013,7331,3485,71.9058823529412,445.7,12.3858695652174,74.0934917514253,81.53676470588364,13.315624999999994,418.03125,0.929755434782594,0,0,27.66874999999999,7.443272954458337,0,0.929755434782594,27.66874999999999,7.443272954458337
9775,3:8,2014,7331,3485,93.1801470588235,373.1,13.3010869565217,88.9183942173414,81.53676470588364,13.315624999999994,418.03125,0.014538043478292906,0,44.93124999999998,0,0,7.38162951145776,0.014538043478292906,44.93124999999998,7.38162951145776
9775,3:8,2015,7331,3485,88.5544117647059,304.1,14.0858695652174,86.3913762881967,81.53676470588364,13.315624999999994,418.03125,0,0.770244565217407,113.93124999999998,0,0,4.854611582313055,0.770244565217407,113.93124999999998,4.854611582313055
9775,3:8,2016,7331,3485,85.2286764705882,485,13.0217391304348,81.3434397887087,81.53676470588364,13.315624999999994,418.03125,0.29388586956519447,0,0,66.96875,0.19332491717494804,0,0.29388586956519447,66.96875,0.19332491717494804
9775,3:8,2017,7331,3485,79.3029411764706,502.7,14.0722826086957,77.5282086898866,81.53676470588364,13.315624999999994,418.03125,0,0.756657608695706,0,84.66874999999999,4.008556015997044,0,0.756657608695706,84.66874999999999,4.008556015997044
9775,3:8,2018,7331,3485,84.6772058823529,221.8,14.6228260869565,85.8066176907486,81.53676470588364,13.315624999999994,418.03125,0,1.307201086956507,196.23125,0,0,4.269852984864954,1.307201086956507,196.23125,4.269852984864954
9775,3:8,2019,7331,3485,81.6514705882353,387,13.7152173913043,82.4965303872709,81.53676470588364,13.315624999999994,418.03125,0,0.39959239130430646,31.03125,0,0,0.9597656813872533,0.39959239130430646,31.03125,0.9597656813872533
9775,3:8,2020,7331,3485,84.9257352941176,464.6,13.3195652173913,82.1418306977776,81.53676470588364,13.315624999999994,418.03125,0,0.003940217391306788,0,46.56875000000002,0,0.6050659918939658,0.003940217391306788,46.56875000000002,0.6050659918939658
9775,3:8,2021,7331,3485,69.6,475.2,12.1570652173913,66.342039326363,81.53676470588364,13.315624999999994,418.03125,1.1585597826086929,0,0,57.16874999999999,15.194725379520648,0,1.1585597826086929,57.16874999999999,15.194725379520648
9777,3:4,2006,3857,2290,92.4757352941177,372.1,2.83114754098361,94.5389306596739,91.50661764705885,5.368237704918033,185.95,2.537090163934423,0,0,186.15000000000003,0,3.032313012615049,2.537090163934423,186.15000000000003,3.032313012615049
9777,3:4,2007,3857,2290,99.8373529411765,120.5,7.34098360655738,94.4353615217502,91.50661764705885,5.368237704918033,185.95,0,1.972745901639347,65.44999999999999,0,0,2.9287438746913494,1.972745901639347,65.44999999999999,2.9287438746913494
9777,3:4,2008,3857,2290,98.6989705882353,353.6,3.38688524590164,96.9929246434979,91.50661764705885,5.368237704918033,185.95,1.9813524590163931,0,0,167.65000000000003,0,5.486306996439055,1.9813524590163931,167.65000000000003,5.486306996439055
9777,3:4,2009,3857,2290,90.3605882352941,198.2,5.42786885245902,89.7753703484846,91.50661764705885,5.368237704918033,185.95,0,0.05963114754098697,0,12.25,1.731247298574246,0,0.05963114754098697,12.25,1.731247298574246
9777,3:4,2010,3857,2290,85.4222058823529,128.2,4.49180327868852,89.2823003555066,91.50661764705885,5.368237704918033,185.95,0.8764344262295127,0,57.75,0,2.2243172915522393,0,0.8764344262295127,57.75,2.2243172915522393
9777,3:4,2011,3857,2290,85.9838235294118,132,7.12459016393443,93.8373297719394,91.50661764705885,5.368237704918033,185.95,0,1.756352459016397,53.94999999999999,0,0,2.3307121248805487,1.756352459016397,53.94999999999999,2.3307121248805487
9777,3:4,2012,3857,2290,87.9454411764706,165.6,6.38360655737705,92.4154489844341,91.50661764705885,5.368237704918033,185.95,0,1.0153688524590168,20.349999999999994,0,0,0.908831337375247,1.0153688524590168,20.349999999999994,0.908831337375247
9777,3:4,2013,3857,2290,77.3070588235294,119.5,3.17540983606557,75.6924994890025,91.50661764705885,5.368237704918033,185.95,2.192827868852463,0,66.44999999999999,0,15.814118158056345,0,2.192827868852463,66.44999999999999,15.814118158056345
9777,3:4,2014,3857,2290,93.4686764705882,148.9,6.90983606557377,92.7179843281149,91.50661764705885,5.368237704918033,185.95,0,1.5415983606557369,37.04999999999998,0,0,1.2113666810560488,1.5415983606557369,37.04999999999998,1.2113666810560488
9777,3:4,2015,3857,2290,89.3302941176471,231.6,5.49016393442623,91.4363565089336,91.50661764705885,5.368237704918033,185.95,0,0.12192622950819665,0,45.650000000000006,0.0702611381252467,0,0.12192622950819665,45.650000000000006,0.0702611381252467
9777,3:4,2016,3857,2290,87.2919117647059,192.9,4.33934426229508,82.4034242443222,91.50661764705885,5.368237704918033,185.95,1.0288934426229526,0,0,6.950000000000017,9.10319340273665,0,1.0288934426229526,6.950000000000017,9.10319340273665
9777,3:4,2017,3857,2290,100.953529411765,283.6,5.73606557377049,99.5207546505215,91.50661764705885,5.368237704918033,185.95,0,0.3678278688524568,0,97.65000000000003,0,8.01413700346265,0.3678278688524568,97.65000000000003,8.01413700346265
9777,3:4,2018,3857,2290,98.915147058823493,114.5,6.70491803278689,97.9830990854257,91.50661764705885,5.368237704918033,185.95,0,1.3366803278688568,71.44999999999999,0,0,6.476481438366861,1.3366803278688568,71.44999999999999,6.476481438366861
9777,3:4,2019,3857,2290,94.2767647058824,172.6,6.12786885245902,92.0253490372096,91.50661764705885,5.368237704918033,185.95,0,0.7596311475409872,13.349999999999994,0,0,0.518731390150748,0.7596311475409872,13.349999999999994,0.518731390150748
9777,3:4,2020,3857,2290,103.238382352941,102.1,6.63606557377049,100.488366471985,91.50661764705885,5.368237704918033,185.95,0,1.2678278688524571,83.85,0,0,8.981748824926157,1.2678278688524571,83.85,8.981748824926157
9777,3:4,2021,3857,2290,78.6,139.3,3.78524590163934,80.5603822521398,91.50661764705885,5.368237704918033,185.95,1.5829918032786932,0,46.64999999999998,0,10.946235394919043,0,1.5829918032786932,46.64999999999998,10.946235394919043
9778,3:9,2006,3857,3244,87.4455882352941,1173.7,12.5280373831776,83.9257910704223,89.69779411764738,12.747225467289725,1055.3625,0.2191880841121261,0,0,118.33750000000009,5.77200304722507,0,0.2191880841121261,118.33750000000009,5.77200304722507
9778,3:9,2007,3857,3244,96.3358823529412,1186.1,12.8742990654206,94.1666346674301,89.69779411764738,12.747225467289725,1055.3625,0,0.12707359813087393,0,130.73749999999995,0,4.468840549782726,0.12707359813087393,130.73749999999995,4.468840549782726
9778,3:9,2008,3857,3244,94.1261764705882,933.4,12.3621495327103,99.5156404122959,89.69779411764738,12.747225467289725,1055.3625,0.3850759345794259,0,121.96249999999998,0,0,9.817846294648518,0.3850759345794259,121.96249999999998,9.817846294648518
9778,3:9,2009,3857,3244,83.0164705882353,1008.3,13.0710280373832,87.2708938995111,89.69779411764738,12.747225467289725,1055.3625,0,0.32380257009347524,47.0625,0,2.426900218136282,0,0.32380257009347524,47.0625,2.426900218136282
9778,3:9,2010,3857,3244,80.5067647058823,1361.3,11.7971962616822,80.4353044103427,89.69779411764738,12.747225467289725,1055.3625,0.9500292056075246,0,0,305.9375,9.262489707304681,0,0.9500292056075246,305.9375,9.262489707304681
9778,3:9,2011,3857,3244,91.7970588235294,1144.7,12.9719626168224,91.503461376989,89.69779411764738,12.747225467289725,1055.3625,0,0.22473714953267532,0,89.33750000000009,0,1.805667259341618,0.22473714953267532,89.33750000000009,1.805667259341618
9778,3:9,2012,3857,3244,89.4873529411765,1004.3,12.9355140186916,87.1915267783886,89.69779411764738,12.747225467289725,1055.3625,0,0.18828855140187528,51.0625,0,2.5062673392587698,0,0.18828855140187528,51.0625,2.5062673392587698
9778,3:9,2013,3857,3244,90.1776470588235,1022.3,11.7957943925234,84.8246004950367,89.69779411764738,12.747225467289725,1055.3625,0.9514310747663259,0,33.0625,0,4.873193622610671,0,0.9514310747663259,33.0625,4.873193622610671
9778,3:9,2014,3857,3244,89.4679411764706,1009.6,12.5691588785047,86.5010836134275,89.69779411764738,12.747225467289725,1055.3625,0.17806658878502546,0,45.76249999999993,0,3.1967105042198796,0,0.17806658878502546,45.76249999999993,3.1967105042198796
9778,3:9,2015,3857,3244,93.2582352941176,911.1,13.1411214953271,94.2577864003781,89.69779411764738,12.747225467289725,1055.3625,0,0.3938960280373749,144.26249999999993,0,0,4.559992282730718,0.3938960280373749,144.26249999999993,4.559992282730718
9778,3:9,2016,3857,3244,79.3485294117647,1135,12.6682242990654,84.5221888982251,89.69779411764738,12.747225467289725,1055.3625,0.07900116822432501,0,0,79.63750000000005,5.17560521942228,0,0.07900116822432501,79.63750000000005,5.17560521942228
9778,3:9,2017,3857,3244,94.4388235294118,1151.2,13.1934579439252,97.3591778116433,89.69779411764738,12.747225467289725,1055.3625,0,0.4462324766354744,0,95.83750000000009,0,7.66138369399593,0.4462324766354744,95.83750000000009,7.66138369399593
9778,3:9,2018,3857,3244,102.729117647059,737,13.9672897196262,103.127633194292,89.69779411764738,12.747225467289725,1055.3625,0,1.2200642523364742,318.36249999999995,0,0,13.429839076644626,1.2200642523364742,318.36249999999995,13.429839076644626
9778,3:9,2019,3857,3244,92.5194117647059,1101.8,13.0971962616822,89.8983137529278,89.69779411764738,12.747225467289725,1055.3625,0,0.34997079439247436,0,46.4375,0,0.20051963528042904,0.34997079439247436,46.4375,0.20051963528042904
9778,3:9,2020,3857,3244,99.6097058823529,926.1,12.996261682243,93.9344417330349,89.69779411764738,12.747225467289725,1055.3625,0,0.249036214953275,129.26249999999993,0,0,4.236647615387525,0.249036214953275,129.26249999999993,4.236647615387525
9778,3:9,2021,3857,3244,70.9,1079.9,11.9869158878505,76.7302273680129,89.69779411764738,12.747225467289725,1055.3625,0.760309579439225,0,0,24.537500000000136,12.967566749634472,0,0.760309579439225,24.537500000000136,12.967566749634472
9779,3:7,2006,7331,3621,80.625,304.4,12.3797385620915,85.248170285467,83.16250000000016,12.736233660130706,329.19375,0.35649509803920587,0,24.793750000000045,0,0,2.0856702854668328,0.35649509803920587,24.793750000000045,2.0856702854668328
9779,3:7,2007,7331,3621,87.21,398.1,13.3581699346405,86.4370458062799,83.16250000000016,12.736233660130706,329.19375,0,0.6219362745097943,0,68.90625,0,3.2745458062797326,0.6219362745097943,68.90625,3.2745458062797326
9779,3:7,2008,7331,3621,88.295,345.2,12.4888888888889,81.8974403383806,83.16250000000016,12.736233660130706,329.19375,0.24734477124180643,0,0,16.006249999999966,1.26505966161956,0,0.24734477124180643,16.006249999999966,1.26505966161956
9779,3:7,2009,7331,3621,79.98,411.3,12.597385620915,81.5474507791396,83.16250000000016,12.736233660130706,329.19375,0.13884803921570565,0,0,82.10624999999999,1.6150492208605698,0,0.13884803921570565,82.10624999999999,1.6150492208605698
9779,3:7,2010,7331,3621,76.865,355.9,12.0222222222222,78.9352127958032,83.16250000000016,12.736233660130706,329.19375,0.7140114379085052,0,0,26.706249999999955,4.227287204196969,0,0.7140114379085052,26.706249999999955,4.227287204196969
9779,3:7,2011,7331,3621,77.05,333.9,12.6313725490196,82.9566552965528,83.16250000000016,12.736233660130706,329.19375,0.10486111111110574,0,0,4.7062499999999545,0.20584470344736872,0,0.10486111111110574,4.7062499999999545,0.20584470344736872
9779,3:7,2012,7331,3621,82.735,305.7,12.9705882352941,84.7464975901558,83.16250000000016,12.736233660130706,329.19375,0,0.23435457516339397,23.493750000000034,0,0,1.583997590155633,0.23435457516339397,23.493750000000034,1.583997590155633
9779,3:7,2013,7331,3621,84.62,303.6,11.4241830065359,83.8892853461821,83.16250000000016,12.736233660130706,329.19375,1.312050653594806,0,25.59375,0,0,0.7267853461819413,1.312050653594806,25.59375,0.7267853461819413
9779,3:7,2014,7331,3621,91.105,271.8,13.2326797385621,86.1952641399769,83.16250000000016,12.736233660130706,329.19375,0,0.49644607843139354,57.39375000000001,0,0,3.0327641399767344,0.49644607843139354,57.39375000000001,3.0327641399767344
9779,3:7,2015,7331,3621,88.09,261.1,13.1483660130719,87.5985804714776,83.16250000000016,12.736233660130706,329.19375,0,0.4121323529411942,68.09375,0,0,4.436080471477439,0.4121323529411942,68.09375,4.436080471477439
9779,3:7,2016,7331,3621,78.875,433.1,12.2287581699346,78.147971343783,83.16250000000016,12.736233660130706,329.19375,0.5074754901961054,0,0,103.90625,5.014528656217166,0,0.5074754901961054,103.90625,5.014528656217166
9779,3:7,2017,7331,3621,83.66,361.6,13.4457516339869,84.4738796553165,83.16250000000016,12.736233660130706,329.19375,0,0.7095179738561939,0,32.40625,0,1.3113796553163297,0.7095179738561939,32.40625,1.3113796553163297
9779,3:7,2018,7331,3621,84.045,198.4,13.9869281045752,85.1427625420547,83.16250000000016,12.736233660130706,329.19375,0,1.2506944444444947,130.79375000000002,0,0,1.9802625420545326,1.2506944444444947,130.79375000000002,1.9802625420545326
9779,3:7,2019,7331,3621,83.83,279.2,13.3895424836601,84.8962610267649,83.16250000000016,12.736233660130706,329.19375,0,0.6533088235293931,49.993750000000034,0,0,1.7337610267647392,0.6533088235293931,49.993750000000034,1.7337610267647392
9779,3:7,2020,7331,3621,88.915,308.2,12.7261437908497,84.8147561787706,83.16250000000016,12.736233660130706,329.19375,0.010089869281005193,0,20.993750000000034,0,0,1.652256178770429,0.010089869281005193,20.993750000000034,1.652256178770429
9779,3:7,2021,7331,3621,74.7,395.6,11.7490196078431,73.6727664038975,83.16250000000016,12.736233660130706,329.19375,0.9872140522876052,0,0,66.40625,9.489733596102667,0,0.9872140522876052,66.40625,9.489733596102667
10042,3:7,2006,5029,5433,67.5529411764706,370.6,13.0771241830065,66.8450315133072,66.2764705882353,13.071364379084962,346.15,0,0.00575980392153852,0,24.450000000000045,0,0.5685609250719068,0.00575980392153852,24.450000000000045,0.5685609250719068
10042,3:7,2007,5029,5433,59.6094117647059,437.7,13.6862745098039,58.7117949864467,66.2764705882353,13.071364379084962,346.15,0,0.614910130718938,0,91.55000000000001,7.5646756017886005,0,0.614910130718938,91.55000000000001,7.5646756017886005
10042,3:7,2008,5029,5433,68.5658823529412,376.1,12.5202614379085,68.5573670763358,66.2764705882353,13.071364379084962,346.15,0.5511029411764614,0,0,29.950000000000045,0,2.2808964881004954,0.5511029411764614,29.950000000000045,2.2808964881004954
10042,3:7,2009,5029,5433,70.022352941176507,347.7,13.0104575163399,68.1062787969162,66.2764705882353,13.071364379084962,346.15,0.060906862745062185,0,0,1.5500000000000114,0,1.8298082086809018,0.060906862745062185,1.5500000000000114,1.8298082086809018
