"district_no","accumulation_period","corrcoef_"
8426,"3:7",0.8192027357454
8436,"3:9",0.782723502012492
8437,"3:6",0.876062205344642
9171,"3:8",0.868384659764906
9174,"3:4",0.805224727238312
9175,"3:4",0.847173018144616
9176,"3:7",0.729022102044847
9177,"3:4",0.862650117111331
9178,"3:8",0.59946883594664
9179,"3:7",0.701647162683775
9181,"3:7",0.718637514512967
9183,"3:8",0.910821887903171
9184,"3:10",0.838303107220539
9185,"3:4",0.639080458557757
9186,"3:8",0.768473404498957
9187,"3:9",0.806083922234808
9189,"3:7",0.889384385677409
9271,"3:9",0.6438515740963
9273,"3:6",0.829913415691734
9274,"3:6",0.808270395228519
9275,"3:8",0.864345018087769
9277,"3:3",0.789804134151602
9278,"3:9",0.851772139542697
9279,"3:7",0.793477608071598
9371,"3:8",0.74147426239664
9372,"3:7",0.845426932097983
9373,"3:9",0.629773721323452
9374,"3:8",0.89365280993201
9375,"3:8",0.814347988177844
9376,"3:6",0.74101196245193
9377,"3:8",0.635949948454502
9471,"3:6",0.778836080169932
9472,"3:6",0.625034091843688
9473,"3:7",0.597522565205866
9474,"3:9",0.6620690041555
9475,"3:6",0.758782286738741
9476,"3:8",0.717163405900472
9477,"3:8",0.698143508399971
9478,"3:8",0.77408433791134
9563,"3:10",0.612921811643717
9571,"3:4",0.718028649991913
9572,"3:7",0.709422119028588
9573,"3:6",0.61930248640186
9574,"3:7",0.817196305308483
9575,"3:4",0.775572937859374
9576,"3:4",0.604725552004502
9577,"3:7",0.746822927949294
9671,"3:6",0.540517333855968
9672,"3:4",0.906483895763333
9673,"3:6",0.745352125666084
9674,"3:6",0.723228990643703
9675,"3:5",0.687669124134401
9676,"3:4",0.556554001949052
9677,"3:5",0.655161591622488
9678,"3:4",0.787453039862605
9679,"3:5",0.643993073916457
9771,"3:5",0.762975555794799
9772,"3:7",0.804461166186258
9773,"3:4",0.804346145281134
9774,"3:4",0.830755937873425
9775,"3:8",0.889077901728882
9777,"3:4",0.890239934354766
9778,"3:9",0.881866669699066
9779,"3:7",0.747150145753627
10042,"3:7",0.809896452177141
10044,"3:7",0.698006842401789
12060,"3:7",0.595759042444137
