"district_no","accumulation_period","Year","stations_rain","stations_temp","Y_t","IR_t","IT_t","prediction"
1057,"3:4",2011,2306,5280,78.3411764705883,21.5,7.32622950819672,75.1345358769405
1057,"3:4",2012,2306,5280,94.6370588235294,52.3,6.92459016393443,94.0761035124174
1057,"3:4",2013,2306,5280,90.5329411764706,50.4,2.96229508196721,90.4778022377476
1057,"3:4",2014,2306,5280,106.528823529412,78.3,8.31803278688525,95.6582069519477
1057,"3:4",2015,2306,5280,101.424705882353,77.4,6.64426229508197,98.0649987223308
1057,"3:4",2016,2306,5280,94.3205882352941,64.5,5.70819672131148,97.6865012653524
1057,"3:4",2017,2306,5280,92.6164705882353,92.8,6.7672131147541,95.6346559833835
1057,"3:4",2018,2306,5280,73.0123529411765,125.3,5.88196721311475,76.9560305619183
1057,"3:4",2019,2306,5280,90.3082352941177,99.4,7.68360655737705,93.4708139602715
1057,"3:4",2020,2306,5280,93.3041176470588,67.8,6.9655737704918,97.5086675287209
1057,"3:4",2021,2306,5280,91.2,101.4,5.34426229508197,90.4737478057296
1058,"3:7",2006,1266,4466,89.5860294117647,242.2,11.0921568627451,86.2984015672841
1058,"3:7",2007,1266,4466,80.0202941176471,443.9,12.3444444444444,80.1267767835636
1058,"3:7",2008,1266,4466,101.154558823529,351.2,11.4960784313725,96.5018837037821
1058,"3:7",2009,1266,4466,99.2888235294118,368.4,11.6967320261438,95.177230844153
1058,"3:7",2010,1266,4466,92.4230882352941,235.8,11.1777777777778,85.1846661842814
1058,"3:7",2011,1266,4466,81.4573529411765,254.1,11.6535947712418,90.6879208248334
1058,"3:7",2012,1266,4466,91.5916176470588,380.9,11.0366013071895,96.710685769592
1058,"3:7",2013,1266,4466,88.1258823529412,269.3,10.1241830065359,92.1300821590234
1058,"3:7",2014,1266,4466,106.260147058824,304.9,12.7091503267974,100.329470357744
1058,"3:7",2015,1266,4466,100.994411764706,418.5,10.7261437908497,95.4140786496907
1058,"3:7",2016,1266,4466,89.1286764705882,382.3,11.7647058823529,93.6989292561065
1058,"3:7",2017,1266,4466,92.8629411764706,390.6,11.6830065359477,92.9475193775924
1058,"3:7",2018,1266,4466,81.5972058823529,184,12.5457516339869,84.3868607627277
1058,"3:7",2019,1266,4466,91.3314705882353,360.1,12.016339869281,95.5574384249623
1058,"3:7",2020,1266,4466,90.4657352941176,243.9,11.4516339869281,87.9837208439951
1058,"3:7",2021,1266,4466,92.5,369.4,11.4679738562092,95.6525697847852
1059,"3:7",2006,4466,7298,88.8477941176471,260.2,11.0294117647059,84.6228029096166
1059,"3:7",2007,4466,7298,77.7979411764706,426,12.4300653594771,78.9865841410775
1059,"3:7",2008,4466,7298,97.6480882352941,299.4,11.6,92.5702932224169
1059,"3:7",2009,4466,7298,101.298235294118,334.1,11.8235294117647,94.4633669424183
1059,"3:7",2010,4466,7298,89.1483823529412,262.8,11.0888888888889,85.3382582631454
1059,"3:7",2011,4466,7298,85.5985294117647,334.3,11.6686274509804,94.3085824842007
1059,"3:7",2012,4466,7298,88.6486764705882,377.1,11.1555555555556,93.9091868654984
1059,"3:7",2013,4466,7298,91.2988235294118,281,9.96078431372549,94.3360538686795
1059,"3:7",2014,4466,7298,107.648970588235,302.9,12.6137254901961,99.1179200694185
1059,"3:7",2015,4466,7298,102.799117647059,388.9,10.7862745098039,96.0177220678176
1059,"3:7",2016,4466,7298,86.3492647058823,361.6,11.7732026143791,92.9491138951941
1059,"3:7",2017,4466,7298,91.8994117647059,410.5,11.5098039215686,86.4793226135171
1059,"3:7",2018,4466,7298,81.6495588235294,240.1,12.3869281045752,89.4547610514259
