District Number,Precipitation-based index (%),Temperature-based index (%),Mixed index at two stations (%),Mixed index at same station (%)
9471,4.38911793100508,13.7693761633085,27.2732541100096,26.356138211620795
9472,9.82664369279952,7.00578922186922,15.432119901208106,14.589902462374138
9473,5.00122830084468,0.539556259748642,15.228137699628434,18.309186673127243
9474,10.5268664302442,8.14456680920665,24.66054936697108,20.474962168348675
9475,3.71042276371339,9.98942959511937,19.609155920537315,17.53451200208021
9476,9.76041101810311,6.87283623076736,20.22919470010915,18.82843082714564
9477,0.0112097037816637,2.80225022309891,22.443366331087745,27.30268967983645
9478,3.45726807653643,23.2244618582489,19.435530933517764,13.99102440424746
9563,6.72464353312055,6.43828199048207,8.919886180312226,9.933918955452686
9571,6.21932858506772,8.87151774896652,19.508155134415208,15.798252512988256
9572,1.71694881548588,4.17297391475493,19.18308063008129,18.87938405209931
9573,3.43032504613868,3.93810626477782,9.20818024513494,5.722086255707935
9574,1.02558051705849,17.1031481591033,12.966704936229595,13.447685229324206
9575,0.117594092166935,1.06131271319519,8.621467549772305,8.631501692851346
9576,5.84852979626849,2.66142071057522,21.16271886282822,11.775529720204869
9577,9.66334384769718,17.775173731772,27.08955398708859,23.18277794823588
9671,8.07053952184045,8.28715784970094,9.332597556972257,10.433370425390017
9672,0.0956047575912274,0.0163465939503914,36.672262883894575,33.748234284131875
9673,0.484254116417212,7.4873276564422,23.791580769954496,22.773027407444
9674,3.79408612962971,9.56439234171326,11.030198326272371,12.12456965011121
9675,25.3920977843826,12.8523116798501,23.93881190276657,20.628201986587055
9676,0.0520665458967004,4.66578542947819,11.976791788626471,16.05546882387106
9677,4.12345223207082,0.473264606227033,9.291339116709086,12.571562887926616
9678,0.311087799130777,6.62035300128741,18.185470257388335,16.724059614316346
9679,0.00451587629561041,2.4243105200596e-4,8.213682309164879,9.23702566315783
9771,12.5434846375236,16.1520018270187,14.64727019690769,14.24019029200191
9772,14.6813036942866,6.79042703769669,27.226295767605972,25.86341151938368
9773,9.66322921350871,14.5216792226505,21.05620398455811,24.427549145866887
9774,11.2207945743775,6.38565502237256,17.36327395249974,23.51418219960381
9775,4.61114365149435,5.8671538230981,25.53907581501988,26.00609742531467
9777,8.29487473646662,23.0915487373125,35.94608026416918,24.17451694218493
9778,17.8959120164634,36.0517509339824,25.116776722318185,30.552416010706608
9779,8.54190599175609,13.9530322598092,19.44879871526566,17.141316804334764
10042,13.3668363123763,18.1266742218949,23.791987794111687,17.822043216973746
10044,4.45693463894684,4.95388790546776,12.252336045349123,9.281773122636906
12060,12.5512458514341,0.685311097557111,27.276003531108213,27.01408273089878
12061,2.8649444816876,4.41169897971232,14.328133793337017,16.42494624628883
12062,0.615670968857284,7.40283939730145,8.392628930983337,7.250339871995528
12063,8.42599159676298,13.5678942611415,25.729929242686033,25.946485177479012
12064,4.3627946640932604,3.13643055147157,15.049535985950085,11.594823533173576
12065,1.75375471978057,4.77153993776826,33.64788852062694,28.612534088899167
