stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
6093,1998-02-01,2024-05-12,53.2139,10.4704,Wendisch Evern,daily,kl,historical,42.612953333027434,1053,Herzogtum Lauenburg
5280,1981-04-01,2024-05-12,53.9224,10.2267,Wittenborn,daily,kl,historical,44.526079102881226,1053,Herzogtum Lauenburg
5078,1940-01-01,2024-05-12,53.9619,10.8892,Travemuende,daily,kl,historical,45.557753663620026,1053,Herzogtum Lauenburg
1981,1962-05-01,2024-05-12,53.4776,9.8957,Hamburg-Neuwiedenthal,daily,kl,historical,48.288237288601195,1053,Herzogtum Lauenburg
760,1976-06-01,2024-05-12,53.3629,9.9435,Rosengarten-Klecken,daily,kl,historical,50.305860119651264,1053,Herzogtum Lauenburg
4039,1974-12-01,2024-05-12,53.7331,9.8776,Quickborn,daily,kl,historical,50.34064438031799,1053,Herzogtum Lauenburg
4625,1890-01-01,2024-05-12,53.6424,11.3871,Schwerin,daily,kl,historical,52.13127550617385,1053,Herzogtum Lauenburg
3897,1998-01-01,2024-05-12,54.0893,10.8773,Pelzerhaken,daily,kl,historical,58.48931763371274,1053,Herzogtum Lauenburg
596,1947-01-01,2024-05-12,54.0027,11.1908,Boltenhagen,daily,kl,historical,60.09882498144195,1053,Herzogtum Lauenburg
7427,2007-09-01,2024-05-12,54.0188,9.9255,Padenstedt (Pony-Park),daily,kl,historical,65.2420684427676,1053,Herzogtum Lauenburg
4857,1990-11-01,2024-05-12,53.5534,9.6097,Mittelnkirchen-Hohenfelde,daily,kl,historical,65.63390183385394,1053,Herzogtum Lauenburg
6163,1999-10-04,2024-05-12,54.1654,10.3519,Doernick,daily,kl,historical,66.15203506462613,1053,Herzogtum Lauenburg
19171,2020-09-01,2024-05-12,54.0039,9.8555,Hasenkrug-Hardebek,daily,kl,historical,67.3143166048025,1053,Herzogtum Lauenburg
2578,1865-01-01,2024-05-12,53.9995,11.4341,Kirchdorf/Poel,daily,kl,historical,71.21033188454423,1053,Herzogtum Lauenburg
5146,1951-01-01,2024-05-12,52.9414,10.5289,Uelzen,daily,kl,historical,72.17582247160306,1053,Herzogtum Lauenburg
3093,1954-12-01,2024-05-12,52.9724,11.1374,Luechow,daily,kl,historical,77.25681511216635,1053,Herzogtum Lauenburg
