"district_no","accumulation_period","Year","stations","Y_t","IR_t","IT_t","prediction"
5162,"3:6",2018,1078,87.2016176470588,235,13.6040983606557,88.2673082099271
5162,"3:6",2019,1078,90.0344117647059,200.3,12.9639344262295,91.3355783541225
5162,"3:6",2020,1078,91.8672058823529,126.5,12.9295081967213,82.4422986352792
5162,"3:6",2021,1078,84.9,296.1,11.4,85.5398183540953
5166,"3:10",2006,1590,82.9227941176471,453.6,14.7,81.5584805255421
5166,"3:10",2007,1590,77.4679411764706,488.6,14.2665306122449,82.9486172065423
5166,"3:10",2008,1590,92.9130882352941,586.3,13.6926530612245,90.3549084127484
5166,"3:10",2009,1590,91.2582352941177,446.6,14.1530612244898,83.6828062647571
5166,"3:10",2010,1590,79.0033823529412,514.2,13.3285714285714,84.237064067202
5166,"3:10",2011,1590,82.9485294117647,459.6,14.1861224489796,82.9221738238481
5166,"3:10",2012,1590,94.2936764705882,556.5,13.6710204081633,86.1566759534088
5166,"3:10",2013,1590,93.5388235294118,444.5,13.1457142857143,93.9113322023985
5166,"3:10",2014,1590,91.9839705882353,540.2,14.6522448979592,91.2761249188995
5166,"3:10",2015,1590,92.8291176470588,441,13.465306122449,90.4865960617902
5166,"3:10",2016,1590,80.9742647058824,531.1,14.0261224489796,85.3377224912782
5166,"3:10",2017,1590,80.1194117647059,500.8,14.5991836734694,84.6963397564913
5166,"3:10",2018,1590,85.0645588235294,317.4,15.5085714285714,83.6261975886326
5166,"3:10",2019,1590,85.8097058823529,475.5,14.7942857142857,82.8574167248025
5166,"3:10",2020,1590,87.2548529411765,329,14.9032653061224,90.8201976464774
5166,"3:10",2021,1590,83.9,570.1,13.6224489795918,87.4096992963663
5334,"3:10",2006,2110,88.5425984034828,416,14.4791836734694,93.8710210023185
5334,"3:10",2007,2110,85.2702355579572,506.2,14.0195918367347,87.8238985483467
5334,"3:10",2008,2110,100.98756615477,510.3,13.3808163265306,88.5387474717649
5334,"3:10",2009,2110,100.947821599247,376.4,14.0032653061224,96.6516747831321
5334,"3:10",2010,2110,97.1271697993099,479.2,13.2310204081633,95.6513010946319
5334,"3:10",2011,2110,95.6065179993727,361.7,14.0938775510204,96.8647319037905
5334,"3:10",2012,2110,100.085866199435,399.4,13.7326530612245,98.0706756682464
5334,"3:10",2013,2110,103.865214399498,398.7,13.2677551020408,109.213092831656
5334,"3:10",2014,2110,103.444562599561,626,14.5616326530612,102.799552674377
5334,"3:10",2015,2110,100.423910799624,382.1,13.6685714285714,101.525802471278
5334,"3:10",2016,2110,79.6032589996863,476.6,14.050612244898,89.4276997212683
5334,"3:10",2017,2110,92.8826071997491,390.9,14.7926530612245,97.0937043551277
5334,"3:10",2018,2110,99.2619553998118,308.5,15.389387755102,102.286979212798
5334,"3:10",2019,2110,101.441303599875,510.1,14.5514285714286,96.2811851725883
5334,"3:10",2020,2110,108.920651799937,370.9,14.7183673469388,95.8088172214407
5334,"3:10",2021,2110,76,553.9,13.5048979591837,82.5023563785624
5370,"3:6",2006,2110,88.5073529411765,216.2,11.1852459016393,94.743637818993
5370,"3:6",2007,2110,85.0735294117647,202,13.3508196721311,91.1792854304326
5370,"3:6",2008,2110,98.8397058823529,221.1,11.8614754098361,94.4304045393812
5370,"3:6",2009,2110,91.6058823529412,165.4,12.2081967213115,94.1378649818619
5370,"3:6",2010,2110,90.0720588235294,150.4,11.0188524590164,96.2016504058508
5370,"3:6",2011,2110,87.3382352941177,121,12.8786885245902,85.4088330519328
5370,"3:6",2012,2110,94.4044117647059,173,12.044262295082,95.0141462751455
5370,"3:6",2013,2110,100.170588235294,200.8,9.93114754098361,93.9342459644141
5370,"3:6",2014,2110,99.1367647058823,199.1,12.6844262295082,93.679103960448
5370,"3:6",2015,2110,96.1029411764706,155.5,11.5959016393443,95.3524386669316
5370,"3:6",2016,2110,76.8691176470588,319.5,11.6229508196721,75.8087575309339
5370,"3:6",2017,2110,79.8352941176471,134.4,13.2729508196721,85.095229364934
5370,"3:6",2018,2110,87.7014705882353,172.5,13.3081967213115,89.7419903182193
5370,"3:6",2019,2110,90.8676470588235,262.3,12.5377049180328,89.7725487423338
5370,"3:6",2020,2110,107.333823529412,164.2,12.6475409836066,92.3347831600778
