"district_no","accumulation_period","corrcoef_"
8327,"3:3",0.799381198173618
8337,"3:7",0.839193503640766
8415,"3:4",0.859831507099626
8416,"3:4",0.893385172104788
8417,"3:4",0.82417879842352
8425,"3:7",0.827655414738166
8426,"3:7",0.820030968819699
8436,"3:9",0.790911604285361
8437,"3:6",0.880189002445182
9171,"3:8",0.858290291357212
9174,"3:4",0.794011083177909
9175,"3:4",0.848465364326713
9176,"3:6",0.784137857195639
9177,"3:4",0.721694561182278
9178,"3:10",0.766455885331854
9179,"3:4",0.715842000334461
9181,"3:8",0.674436204456171
9183,"3:8",0.900472326252356
9184,"3:10",0.784649176312896
9185,"3:6",0.799316495860129
9186,"3:8",0.723524416441231
9187,"3:9",0.793597991391052
9189,"3:7",0.914517080457698
9271,"3:9",0.659929355685438
9273,"3:6",0.838441014904937
9274,"3:6",0.837706250510827
9275,"3:3",0.908299026537433
9277,"3:3",0.799367080561924
9278,"3:9",0.837375281833853
9279,"3:3",0.778177702611006
9371,"3:7",0.714021647332496
9372,"3:7",0.826169879188362
9373,"3:7",0.707578233024573
9374,"3:8",0.881478779491719
9375,"3:8",0.810845986529519
9376,"3:6",0.784869539861092
9377,"3:8",0.604085955176664
9471,"3:6",0.827157001832209
9472,"3:8",0.580997179793994
9473,"3:7",0.630115501429723
9474,"3:10",0.622291393294282
9475,"3:6",0.689279585929015
9476,"3:8",0.728613348593782
9477,"3:8",0.745084898895958
9478,"3:10",0.777504899305381
9563,"3:10",0.627950667728954
9571,"3:4",0.7317498422851
9572,"3:10",0.714568958759436
9573,"3:6",0.608677686937489
9574,"3:7",0.816470600146385
9575,"3:4",0.773942493393908
9576,"3:4",0.563076547336765
9577,"3:6",0.732476411747742
9671,"3:4",0.551856236938047
9672,"3:4",0.897975308950343
9673,"3:4",0.815283920446919
9674,"3:6",0.731017546335016
9675,"3:5",0.71001764693815
9676,"3:4",0.583030921124855
9677,"3:5",0.650945869767207
9678,"3:4",0.75948608872431
9679,"3:4",0.674005174716092
9771,"3:10",0.763041481611539
9772,"3:4",0.802770443494828
9773,"3:4",0.796238036725967
9774,"3:4",0.841765574333444
9775,"3:8",0.891584309167653
