district_no,accumulation_period,Year,stations,Y_t,IR_t,IT_t,prediction,strike_level_mixed,n_mixed,fair_premium,yt_price,z,revenue
9279,03:03:00,2009,1332,80.71235294,83.6,3.55483871,83.16916281,83.80147059,0.632307776,1.8706226926042786,1291.39764704,0.7726615992024403,1290.4408486562202
9279,03:03:00,2010,1332,74.26132353,26.6,4.258064516,77.78284962,83.80147059,6.018620968,1.8706226926042786,1188.18117648,0.7726615992024403,1191.386175460956
9279,03:03:00,2011,1332,83.91029412,43.5,5.54516129,86.14031436,83.80147059,2.338843777,1.8706226926042786,1342.56470592,0.7726615992024403,1342.9264823718495
9279,03:03:00,2012,1332,81.15926471,12.5,6.964516129,85.93031316,83.80147059,2.128842576,1.8706226926042786,1298.54823536,0.7726615992024403,1298.7477519480503
9279,03:03:00,2013,1332,77.50823529,36.2,1.709677419,73.96269085,83.80147059,9.838779736,1.8706226926042786,1240.13176464,0.7726615992024403,1246.2884536038462
9279,03:03:00,2014,1332,97.05720588,27.6,7.65483871,92.39815277,83.80147059,8.596682181,1.8706226926042786,1552.91529408,0.7726615992024403,1558.1122619606344
9279,03:03:00,2015,1332,91.00617647,45.2,5.522580645,86.22230665,83.80147059,2.420836058,1.8706226926042786,1456.09882352,0.7726615992024403,1456.5239522588092
9279,03:03:00,2016,1332,80.35514706,40.3,4.451612903,82.69026257,83.80147059,1.111208019,1.8706226926042786,1285.68235296,0.7726615992024403,1285.095582403835
9279,03:03:00,2017,1332,85.50411765,64.3,7.551612903,87.58227813,83.80147059,3.780807546,1.8706226926042786,1368.0658824,0.7726615992024403,1369.5418088835968
9279,03:03:00,2018,1332,74.85308824,51.8,2.732258065,81.96907559,83.80147059,1.832394995,1.8706226926042786,1197.64941184,0.7726615992024403,1197.6198747660353
9279,03:03:00,2019,1332,86.50205882,43.7,6.870967742,89.84227308,83.80147059,6.040802487,1.8706226926042786,1384.03294112,0.7726615992024403,1387.2550789088993
9279,03:03:00,2020,1332,88.65102941,39.3,5.358064516,85.09449574,83.80147059,1.293025147,1.8706226926042786,1418.41647056,0.7726615992024403,1417.970183116718
9279,03:03:00,2021,1332,79.8,20,4.609677419,76.52647446,83.80147059,7.274996123,1.8706226926042786,1276.8,0.7726615992024403,1280.9757518174165
9371,03:07:00,2006,4592,73.65073529,333.6,12.86928105,73.64324112,74.60661765,0.963376527,1.8706226926042786,1178.41176464,-1.3127394273540438,1179.6027424519045
9371,03:07:00,2007,4592,78.46735294,322.4,13.87712418,80.64845113,74.60661765,6.041833482,1.8706226926042786,1255.47764704,-1.3127394273540438,1250.0019341769557
9371,03:07:00,2008,4592,73.58397059,331.7,12.98300654,74.27779173,74.60661765,0.32882592,1.8706226926042786,1177.34352944,-1.3127394273540438,1179.367506852365
9371,03:07:00,2009,4592,77.20058824,368.4,13.15424837,74.49613411,74.60661765,0.110483541,1.8706226926042786,1235.20941184,-1.3127394273540438,1237.5200159019405
9371,03:07:00,2010,4592,69.01720588,316.8,12.59738562,74.76913541,74.60661765,0.162517764,1.8706226926042786,1104.27529408,-1.3127394273540438,1106.5175907658368
9371,03:07:00,2011,4592,75.33382353,297.9,13.01895425,76.09211183,74.60661765,1.485494186,1.8706226926042786,1205.34117648,-1.3127394273540438,1205.8467498552175
9371,03:07:00,2012,4592,72.95044118,185.3,13.3875817,75.87153329,74.60661765,1.264915639,1.8706226926042786,1167.20705888,-1.3127394273540438,1168.002194410693
9371,03:07:00,2013,4592,70.76705882,340,11.91437908,71.48035496,74.60661765,3.126262685,1.8706226926042786,1132.27294112,-1.3127394273540438,1130.6246129954197
9371,03:07:00,2014,4592,82.18367647,257.3,13.60196078,75.03223415,74.60661765,0.4256165,1.8706226926042786,1314.93882352,-1.3127394273540438,1316.8357401218025
9371,03:07:00,2015,4592,77.40029412,195.9,13.24052288,78.21101618,74.60661765,3.604398534,1.8706226926042786,1238.40470592,-1.3127394273540438,1236.128710014806
9371,03:07:00,2016,4592,75.91691176,323.7,12.8248366,74.25086551,74.60661765,0.355752136,1.8706226926042786,1214.67058816,-1.3127394273540438,1216.6592184669923
9371,03:07:00,2017,4592,71.73352941,261,13.74901961,74.87121358,74.60661765,0.264595932,1.8706226926042786,1147.73647056,-1.3127394273540438,1149.844765210031
