"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:5","IT_t_squared",-1.93404950371468,1.73455070735498,-1.11501468104321,0.290922973387287,1051
"3:5","IR_t_IT_t",0.0665388949667706,0.0698182735215612,0.953029795934759,0.363042919117419,1051
"3:6","(Intercept)",-350.565779041698,266.186598019708,-1.31699259710943,0.217221338003041,1051
"3:6","IR_t",0.359450545486092,0.854004396188997,0.420900111393037,0.682730727662919,1051
"3:6","IT_t",82.2450877295677,44.2358288274533,1.85924147709255,0.0926302458906494,1051
"3:6","IR_t_squared",-0.000685779046240579,0.000732192709272666,-0.936610044808842,0.371027007768906,1051
"3:6","IT_t_squared",-4.09074208413734,2.19627337451219,-1.86258328840595,0.0921234843477263,1051
"3:6","IR_t_IT_t",-0.00643281359188046,0.0663211648490938,-0.0969948825011983,0.924646910841393,1051
"3:7","(Intercept)",-131.414960070332,357.733612828467,-0.367354241697566,0.721009927524457,1051
"3:7","IR_t",1.16438711897443,0.460935983006078,2.52613630070854,0.0300693985429867,1051
"3:7","IT_t",7.01504970873641,60.6904905976925,0.115587296125814,0.910267784680896,1051
"3:7","IR_t_squared",-0.00101976915297868,0.000343210480983934,-2.9712646014048,0.0140154762383886,1051
"3:7","IT_t_squared",0.271833931125476,2.60489474021855,0.104355053940747,0.918950940696999,1051
"3:7","IR_t_IT_t",-0.0431106117371185,0.0300344123611584,-1.43537390439743,0.181711002696717,1051
"3:8","(Intercept)",39.8059952999202,1349.24008443561,0.0295025294305359,0.977044299977927,1051
"3:8","IR_t",0.331064189782601,1.48053977706289,0.223610466204,0.827562381598242,1051
"3:8","IT_t",-2.4207281149419,250.097809096106,-0.00967912563365031,0.99246767150562,1051
"3:8","IR_t_squared",-0.000222827782012712,0.000809406130375485,-0.275297867968139,0.788691983471025,1051
"3:8","IT_t_squared",0.180458180638435,10.7202104751882,0.0168334550012896,0.986900603570934,1051
"3:8","IR_t_IT_t",-0.00902845896092771,0.0694796162250528,-0.129943995828697,0.899187423703765,1051
"3:9","(Intercept)",-99.4302351666748,956.033185908193,-0.104002911857312,0.919223353481719,1051
"3:9","IR_t",0.949581630490508,0.97376761980889,0.975162462967162,0.352478691898593,1051
"3:9","IT_t",-6.9938719814383,155.403131661628,-0.0450047042595423,0.964989584536441,1051
"3:9","IR_t_squared",-0.0005253294830874,0.000423066725543628,-1.24171779856326,0.242675343216549,1051
"3:9","IT_t_squared",0.871949630037959,6.33930311331116,0.137546606378082,0.893328830994418,1051
"3:9","IR_t_IT_t",-0.0320975007730508,0.0515061043077229,-0.623178576684513,0.54711618315481,1051
"3:10","(Intercept)",2123.88235945174,1822.82991573837,1.16515662877489,0.270996265814541,1053
"3:10","IR_t",-0.465809532961795,1.02854676701197,-0.452881237782719,0.660301388557967,1053
"3:10","IT_t",-299.678001379442,267.965511485907,-1.11834541586223,0.289564833962682,1053
"3:10","IR_t_squared",-0.00025561497754252,0.000237866675710605,-1.07461449477483,0.307792027344753,1053
"3:10","IT_t_squared",10.6061956611042,9.85347285360363,1.07639162543847,0.307034546163307,1053
"3:10","IR_t_IT_t",0.0559361047792574,0.0698299055909265,0.801033658944622,0.441728791528152,1053
"3:3","(Intercept)",96.4651699369203,16.8280657079312,5.73239798389043,0.000189683600553608,1053
"3:3","IR_t",-0.405776954624832,0.540208449285239,-0.751148848489364,0.469870614792095,1053
"3:3","IT_t",-0.988234330953766,4.1549309691049,-0.23784614914232,0.816802860700866,1053
"3:3","IR_t_squared",0.0022240893352544,0.00436905476787894,0.509055036710867,0.62175670859116,1053
"3:3","IT_t_squared",0.035690145757231,0.509109379799823,0.0701030999885802,0.9454936984557,1053
"3:3","IR_t_IT_t",0.0302430532107448,0.0481479448265552,0.62812760377811,0.543997988477268,1053
"3:4","(Intercept)",124.404468200969,68.9982590406413,1.80300879950743,0.101553205916645,1053
"3:4","IR_t",-0.180184251846229,0.926471267554572,-0.194484446691829,0.849690787695833,1053
"3:4","IT_t",-9.91054423399659,14.5268006316112,-0.682224839819899,0.510589531792242,1053
"3:4","IR_t_squared",-0.00073063827811365,0.00294915939755379,-0.24774458739656,0.809344798574697,1053
"3:4","IT_t_squared",0.451803783855971,0.995712281227372,0.453749333390818,0.659697327578128,1053
"3:4","IR_t_IT_t",0.0510447133210257,0.0803646381302196,0.63516385450918,0.539582353413005,1053
"3:5","(Intercept)",-28.5322806781351,246.504585607308,-0.115747464120559,0.91014405248021,1053
"3:5","IR_t",0.538390760555343,1.21381273527274,0.443553395766908,0.666808213108359,1053
"3:5","IT_t",21.6203858222972,42.4932442976735,0.50879583754166,0.621931957505776,1053
"3:5","IR_t_squared",-0.00130716137439041,0.00145469836591816,-0.898578980368461,0.390000272928776,1053
"3:5","IT_t_squared",-1.2121330994742,2.14678227054223,-0.56462786939639,0.584768889283738,1053
"3:5","IR_t_IT_t",-0.0223707797419146,0.098971272159953,-0.226033062460387,0.825728637663277,1053
"3:6","(Intercept)",-307.732491640111,311.431865943851,-0.988121400831839,0.346398414761535,1053
"3:6","IR_t",-0.171743173047271,0.628771998016641,-0.273140619475751,0.790303023606059,1053
"3:6","IT_t",83.1196245967953,53.8877823772484,1.54245769504682,0.153990684088612,1053
"3:6","IR_t_squared",-0.000804579015891782,0.00051506577211509,-1.56208985230725,0.149330327976306,1053
